casualty_id,accident_id,injury_type,age
C1,1,Serious,63
C2,2,Minor,55
C3,3,Fatal,64
C4,4,Fatal,26
C5,5,None,22
C6,6,None,37
C7,7,None,20
C8,8,Minor,34
C9,9,None,2
C10,10,Minor,16
C11,11,Fatal,72
C12,12,Serious,58
C13,13,None,71
C14,14,Fatal,23
C15,15,Serious,62
C16,16,Serious,60
C17,17,Serious,42
C18,18,Fatal,31
C19,19,Fatal,65
C20,20,Serious,36
C21,21,Serious,30
C22,22,Minor,71
C23,23,Serious,68
C24,24,None,72
C25,25,Serious,66
C26,26,Fatal,28
C27,27,Fatal,47
C28,28,Fatal,49
C29,29,None,28
C30,30,Minor,52
C31,31,None,55
C32,32,Fatal,55
C33,33,Fatal,66
C34,34,Serious,23
C35,35,None,1
C36,36,Fatal,70
C37,37,Fatal,5
C38,38,Fatal,61
C39,39,Minor,59
C40,40,Fatal,49
C41,41,Serious,69
C42,42,Fatal,27
C43,43,Serious,15
C44,44,None,45
C45,45,Serious,73
C46,46,None,73
C47,47,Minor,74
C48,48,Minor,49
C49,49,Fatal,16
C50,50,Serious,53
C51,51,Serious,71
C52,52,Fatal,18
C53,53,Serious,29
C54,54,Fatal,51
C55,55,Serious,41
C56,56,Minor,44
C57,57,Fatal,51
C58,58,Serious,29
C59,59,Minor,26
C60,60,Minor,24
C61,61,Serious,50
C62,62,Minor,64
C63,63,Minor,2
C64,64,Minor,42
C65,65,Fatal,45
C66,66,Fatal,21
C67,67,Fatal,61
C68,68,Serious,15
C69,69,Minor,27
C70,70,Serious,28
C71,71,None,32
C72,72,Fatal,71
C73,73,Minor,39
C74,74,None,3
C75,75,Minor,6
C76,76,Minor,9
C77,77,Serious,4
C78,78,Minor,71
C79,79,None,33
C80,80,Minor,40
C81,81,Fatal,28
C82,82,Fatal,35
C83,83,Fatal,46
C84,84,Minor,8
C85,85,Fatal,47
C86,86,Minor,75
C87,87,Minor,20
C88,88,Fatal,51
C89,89,Serious,16
C90,90,None,37
C91,91,Serious,2
C92,92,Minor,59
C93,93,Serious,62
C94,94,None,49
C95,95,Minor,3
C96,96,Serious,50
C97,97,None,19
C98,98,Minor,10
C99,99,Fatal,5
C100,100,Serious,46
C101,101,None,39
C102,102,None,43
C103,103,Fatal,1
C104,104,Serious,10
C105,105,None,3
C106,106,Serious,36
C107,107,None,26
C108,108,Serious,70
C109,109,Serious,53
C110,110,Fatal,71
C111,111,Fatal,53
C112,112,Minor,69
C113,113,Serious,56
C114,114,Serious,42
C115,115,Serious,12
C116,116,Serious,68
C117,117,None,17
C118,118,Serious,17
C119,119,Serious,6
C120,120,Minor,63
C121,121,Serious,15
C122,122,Serious,15
C123,123,Minor,68
C124,124,None,71
C125,125,None,69
C126,126,Minor,61
C127,127,Serious,2
C128,128,Fatal,48
C129,129,None,19
C130,130,Fatal,55
C131,131,None,20
C132,132,Fatal,44
C133,133,Serious,25
C134,134,Fatal,18
C135,135,Serious,53
C136,136,Minor,50
C137,137,Minor,49
C138,138,Fatal,34
C139,139,Serious,72
C140,140,Minor,16
C141,141,None,21
C142,142,None,36
C143,143,Minor,5
C144,144,Serious,45
C145,145,Minor,15
C146,146,None,40
C147,147,Serious,52
C148,148,None,7
C149,149,None,52
C150,150,Fatal,62
C151,151,Serious,44
C152,152,Fatal,18
C153,153,Serious,71
C154,154,None,52
C155,155,Minor,38
C156,156,Serious,20
C157,157,None,18
C158,158,Serious,48
C159,159,Minor,29
C160,160,Minor,52
C161,161,None,37
C162,162,Fatal,55
C163,163,Minor,23
C164,164,Serious,8
C165,165,None,20
C166,166,Fatal,32
C167,167,Fatal,54
C168,168,Fatal,10
C169,169,Serious,69
C170,170,Minor,23
C171,171,Serious,50
C172,172,Fatal,60
C173,173,Minor,68
C174,174,Fatal,23
C175,175,Serious,6
C176,176,Minor,42
C177,177,Minor,1
C178,178,Minor,62
C179,179,None,75
C180,180,Minor,75
C181,181,Serious,25
C182,182,Fatal,1
C183,183,Serious,36
C184,184,Serious,68
C185,185,Serious,24
C186,186,Fatal,45
C187,187,Serious,40
C188,188,Minor,13
C189,189,Fatal,17
C190,190,Serious,60
C191,191,Minor,41
C192,192,Fatal,13
