road_id,accident_id,road_type,lighting,road_condition,response_time
R1,1,Expressway,Dim Light,Wet,<10 min
R2,2,City Road,Daylight,Under Construction,<10 min
R3,3,Expressway,No Light,Under Construction,10-20 min
R4,4,City Road,Dim Light,Dry,<10 min
R5,5,Expressway,Dim Light,Under Construction,<10 min
R6,6,Rural Road,Daylight,Under Construction,<10 min
R7,7,Rural Road,Street Light,Under Construction,>30 min
R8,8,Expressway,Street Light,Damaged,<10 min
R9,9,Expressway,Daylight,Wet,<10 min
R10,10,City Road,Daylight,Under Construction,10-20 min
R11,11,Rural Road,Daylight,Dry,>30 min
R12,12,Rural Road,Street Light,Damaged,10-20 min
R13,13,Expressway,Street Light,Damaged,<10 min
R14,14,City Road,No Light,Damaged,10-20 min
R15,15,Highway,No Light,Wet,20-30 min
R16,16,Rural Road,Dim Light,Dry,<10 min
R17,17,Expressway,Street Light,Under Construction,<10 min
R18,18,Expressway,Dim Light,Dry,20-30 min
R19,19,Expressway,Dim Light,Wet,20-30 min
R20,20,City Road,Dim Light,Damaged,20-30 min
R21,21,Rural Road,Street Light,Dry,>30 min
R22,22,Highway,Dim Light,Wet,>30 min
R23,23,Highway,Street Light,Wet,10-20 min
R24,24,Highway,No Light,Damaged,20-30 min
R25,25,Highway,Street Light,Dry,10-20 min
R26,26,Rural Road,Dim Light,Damaged,20-30 min
R27,27,Highway,Dim Light,Dry,>30 min
R28,28,Highway,Dim Light,Damaged,>30 min
R29,29,Expressway,Daylight,Wet,20-30 min
R30,30,Rural Road,No Light,Wet,20-30 min
R31,31,Expressway,Dim Light,Damaged,>30 min
R32,32,Rural Road,Daylight,Dry,20-30 min
R33,33,City Road,No Light,Under Construction,<10 min
R34,34,Highway,No Light,Damaged,>30 min
R35,35,Highway,No Light,Dry,<10 min
R36,36,Rural Road,Daylight,Damaged,10-20 min
R37,37,Expressway,Street Light,Dry,>30 min
R38,38,Rural Road,Daylight,Damaged,10-20 min
R39,39,City Road,Street Light,Damaged,<10 min
R40,40,Highway,Daylight,Dry,<10 min
R41,41,Expressway,Street Light,Under Construction,>30 min
R42,42,Rural Road,No Light,Under Construction,20-30 min
R43,43,Expressway,Daylight,Wet,<10 min
R44,44,Expressway,Dim Light,Dry,>30 min
R45,45,Highway,Street Light,Under Construction,<10 min
R46,46,City Road,Daylight,Under Construction,>30 min
R47,47,Rural Road,No Light,Under Construction,>30 min
R48,48,Expressway,Dim Light,Wet,<10 min
R49,49,Expressway,Street Light,Wet,20-30 min
R50,50,Highway,Dim Light,Wet,>30 min
R51,51,Expressway,Street Light,Wet,20-30 min
R52,52,Highway,Dim Light,Dry,<10 min
R53,53,Rural Road,Daylight,Damaged,10-20 min
R54,54,Rural Road,Daylight,Dry,10-20 min
