vehicle_id,accident_id,vehicle_type,vehicle_condition,driver_behavior,driver_age,passenger_count
V1,1,Truck,Good,Overspeeding,24,1
V2,2,Car,Average,Distracted,21,1
V3,3,Truck,Average,Drunk Driving,24,1
V4,4,Auto,Good,Distracted,50,2
V5,5,Truck,Average,Distracted,22,1
V6,6,Bike,Poor,Distracted,46,1
V7,7,Auto,Good,Fatigue,64,4
V8,8,Auto,Average,Drunk Driving,62,1
V9,9,Auto,Good,Normal,45,1
V10,10,Bus,Good,Normal,53,1
V11,11,Bus,Poor,Fatigue,60,1
V12,12,Car,Good,Overspeeding,25,3
V13,13,Bicycle,Poor,Overspeeding,27,5
V14,14,Car,Good,Overspeeding,28,5
V15,15,Auto,Good,Overspeeding,62,4
V16,16,Bus,Poor,Drunk Driving,49,2
V17,17,Bus,Good,Normal,40,1
V18,18,Truck,Good,Normal,23,4
V19,19,Bus,Average,Fatigue,58,5
V20,20,Bike,Good,Overspeeding,56,2
V21,21,Truck,Good,Normal,19,4
V22,22,Bike,Good,Fatigue,23,4
V23,23,Bicycle,Poor,Fatigue,22,1
V24,24,Truck,Good,Overspeeding,45,2
V25,25,Bicycle,Average,Distracted,51,2
V26,26,Auto,Good,Fatigue,23,3
V27,27,Auto,Poor,Fatigue,40,2
V28,28,Bike,Average,Overspeeding,26,1
V29,29,Bus,Average,Fatigue,54,1
V30,30,Bicycle,Average,Distracted,44,2
V31,31,Auto,Poor,Distracted,20,5
V32,32,Truck,Poor,Fatigue,61,1
V33,33,Bus,Average,Drunk Driving,27,2
V34,34,Car,Average,Overspeeding,51,1
V35,35,Van,Good,Distracted,28,4
V36,36,Bus,Average,Distracted,31,5
V37,37,Bicycle,Good,Distracted,44,3
V38,38,Bus,Good,Fatigue,27,2
V39,39,Car,Average,Drunk Driving,54,2
V40,40,Truck,Good,Normal,34,1
V41,41,Car,Good,Distracted,61,2
V42,42,Bike,Average,Distracted,63,2
V43,43,Auto,Average,Overspeeding,36,5
V44,44,Truck,Good,Normal,34,5
V45,45,Car,Average,Distracted,21,4
V46,46,Bicycle,Average,Overspeeding,52,5
V47,47,Bicycle,Good,Drunk Driving,19,1
V48,48,Van,Average,Overspeeding,31,1
V49,49,Bike,Good,Distracted,58,4
V50,50,Van,Poor,Drunk Driving,22,1
V51,51,Bicycle,Good,Normal,58,3
V52,52,Bus,Average,Overspeeding,57,3
V53,53,Truck,Good,Distracted,65,2
V54,54,Bicycle,Good,Distracted,44,4
V55,55,Van,Good,Normal,31,1
V56,56,Bike,Good,Normal,44,2
V57,57,Auto,Average,Overspeeding,61,3
V58,58,Bike,Poor,Distracted,37,1
V59,59,Bike,Good,Drunk Driving,40,1
V60,60,Bus,Poor,Distracted,32,1
V61,61,Auto,Poor,Normal,60,1
V62,62,Bicycle,Average,Overspeeding,39,2
V63,63,Auto,Average,Overspeeding,34,1
V64,64,Bike,Good,Normal,65,1
V65,65,Bike,Average,Overspeeding,40,1
V66,66,Truck,Good,Distracted,40,1
V67,67,Bicycle,Average,Distracted,39,4
V68,68,Auto,Good,Drunk Driving,64,1
V69,69,Bicycle,Good,Drunk Driving,30,4
V70,70,Bike,Poor,Distracted,60,3
V71,71,Car,Average,Fatigue,29,1
V72,72,Bike,Good,Overspeeding,55,2
V73,73,Bike,Good,Overspeeding,34,4
V74,74,Bicycle,Good,Drunk Driving,60,1
V75,75,Van,Good,Fatigue,57,3
V76,76,Truck,Average,Drunk Driving,36,1
V77,77,Truck,Average,Overspeeding,39,2
V78,78,Bus,Poor,Overspeeding,41,1
V79,79,Bicycle,Good,Fatigue,36,3
V80,80,Truck,Poor,Overspeeding,64,4
V81,81,Bus,Average,Drunk Driving,53,4
V82,82,Bicycle,Good,Drunk Driving,23,5
V83,83,Car,Good,Distracted,56,3
V84,84,Bus,Good,Distracted,30,4
V85,85,Car,Poor,Fatigue,43,4
V86,86,Van,Poor,Normal,30,1
V87,87,Bike,Good,Distracted,22,4
V88,88,Truck,Average,Normal,36,2
V89,89,Bus,Good,Drunk Driving,21,2
V90,90,Truck,Poor,Drunk Driving,56,1
V91,91,Bicycle,Good,Fatigue,57,5
V92,92,Bicycle,Average,Drunk Driving,21,1
V93,93,Bike,Poor,Drunk Driving,30,1
V94,94,Car,Average,Drunk Driving,24,2
V95,95,Auto,Average,Overspeeding,55,1
V96,96,Auto,Poor,Distracted,49,3
V97,97,Auto,Poor,Drunk Driving,28,4
V98,98,Truck,Average,Distracted,51,1
V99,99,Car,Poor,Drunk Driving,30,2
V100,100,Van,Poor,Fatigue,44,3
V101,101,Auto,Average,Fatigue,27,4
V102,102,Car,Poor,Fatigue,52,4
V103,103,Auto,Poor,Overspeeding,19,3
V104,104,Bicycle,Good,Normal,18,5
V105,105,Auto,Good,Normal,45,4
V106,106,Bicycle,Good,Drunk Driving,34,3
V107,107,Car,Good,Drunk Driving,30,3
V108,108,Bus,Average,Distracted,26,2
V109,109,Car,Poor,Fatigue,18,5
V110,110,Bicycle,Average,Normal,24,1
V111,111,Van,Average,Normal,23,5
V112,112,Bike,Poor,Distracted,37,2
V113,113,Bus,Average,Fatigue,60,2
V114,114,Truck,Good,Overspeeding,34,1
V115,115,Bicycle,Average,Drunk Driving,35,2
V116,116,Bus,Good,Normal,38,2
V117,117,Auto,Poor,Normal,30,1
V118,118,Bicycle,Good,Distracted,36,2
V119,119,Car,Good,Fatigue,44,4
V120,120,Van,Average,Distracted,34,1
V121,121,Van,Good,Fatigue,23,2
